latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
17.839,-93.108,312.4,2.2,1.4,2020-02-19,0405,T,85,6.0NRT,295.1,32.1,N
17.835,-93.128,315.8,2.2,1.5,2020-02-19,0405,T,92,6.0NRT,295.4,41.1,N
17.892,-93.183,322.3,2.3,1.5,2020-02-19,0405,T,100,6.0NRT,295.8,59.6,N
17.889,-93.204,307.5,2.3,1.5,2020-02-19,0405,T,72,6.0NRT,295.4,19.3,N
17.905,-93.186,323.3,2.3,1.5,2020-02-19,0405,T,100,6.0NRT,295.6,62.3,N
17.89,-93.189,326.4,2.3,1.5,2020-02-19,0405,T,100,6.0NRT,295.7,75,N
17.907,-93.171,306.8,2.3,1.5,2020-02-19,0405,T,69,6.0NRT,295.7,18.7,N
17.903,-93.192,320.1,2.3,1.5,2020-02-19,0405,T,100,6.0NRT,295.7,53.5,N
17.91,-93.527,307,2.4,1.5,2020-02-19,0405,T,70,6.0NRT,294,24.2,N
19.196,-90.756,320.9,1.4,1.2,2020-02-19,0405,T,100,6.0NRT,294,27.8,N
19.193,-90.769,320.9,1.4,1.2,2020-02-19,0405,T,100,6.0NRT,294.2,28.3,N
19.204,-90.771,314.8,1.4,1.2,2020-02-19,0405,T,90,6.0NRT,293.6,19.5,N
19.29,-92.163,308,1.8,1.3,2020-02-19,0405,T,58,6.0NRT,296.2,13.6,N
19.287,-92.179,307.9,1.8,1.3,2020-02-19,0405,T,58,6.0NRT,296.2,13.5,N
19.394,-92.047,315.9,1.7,1.3,2020-02-19,0405,T,89,6.0NRT,296,25.6,N
19.393,-92.036,306.6,1.7,1.3,2020-02-19,0405,T,47,6.0NRT,295.9,11.3,N
19.39,-92.053,307,1.7,1.3,2020-02-19,0405,T,51,6.0NRT,295.9,11.9,N
19.567,-92.236,328.5,1.8,1.3,2020-02-19,0405,T,100,6.0NRT,296.3,58.2,N
19.564,-92.252,310.3,1.8,1.3,2020-02-19,0405,T,70,6.0NRT,295.9,17.8,N
21.663,-78.236,325,3.2,1.7,2020-02-19,0405,T,100,6.0NRT,292.7,122.9,N
21.66,-78.267,311.5,3.2,1.7,2020-02-19,0405,T,75,6.0NRT,292.3,55.6,N
21.66,-78.241,328.8,3.2,1.7,2020-02-19,0405,T,100,6.0NRT,292.9,146.9,N
22.734,-81.839,303.1,1.8,1.3,2020-02-19,0405,T,53,6.0NRT,292.9,9.9,N
20.316,-76.75,312.9,1,1,2020-02-19,0650,A,86,6.0NRT,293,12.2,N
21.141,-76.871,302.9,1.1,1,2020-02-19,0645,A,52,6.0NRT,292.7,5.1,N
21.14,-76.861,304.4,1.1,1,2020-02-19,0645,A,60,6.0NRT,293.9,6.2,N
19.57,-92.233,315.6,2.8,1.6,2020-02-19,0825,A,89,6.0NRT,294.2,56,N
19.298,-92.166,309.5,2.9,1.6,2020-02-19,0825,A,67,6.0NRT,294.2,34.4,N
19.295,-92.172,306.3,2.9,1.6,2020-02-19,0825,A,43,6.0NRT,294.2,26.2,N
19.713,-97.75,316.4,1.2,1.1,2020-02-19,0825,A,93,6.0NRT,285,22.5,N
19.712,-97.739,311.3,1.2,1.1,2020-02-19,0825,A,82,6.0NRT,285.7,17.4,N
19.636,-98.175,302.2,1.1,1.1,2020-02-19,0825,A,47,6.0NRT,280.4,11,N
19.022,-98.622,303.4,1.1,1,2020-02-19,0825,A,55,6.0NRT,268.7,11.3,N
17.902,-93.177,314.2,2.6,1.5,2020-02-19,0825,A,89,6.0NRT,294.7,48,N
17.847,-93.113,322.3,2.6,1.6,2020-02-19,0825,A,100,6.0NRT,294.5,80,N
17.841,-93.12,317.4,2.6,1.6,2020-02-19,0825,A,95,6.0NRT,294.3,60.7,N
17.837,-93.095,305.3,2.6,1.6,2020-02-19,0825,A,64,6.0NRT,294,24.1,N
41.461,-81.67,307.5,1.2,1.1,2020-02-19,1610,T,65,6.0NRT,274.8,14.3,D
30.139,-85.331,311.9,1.4,1.2,2020-02-19,1610,T,43,6.0NRT,294,9.1,D
30.129,-85.333,312,1.4,1.2,2020-02-19,1610,T,60,6.0NRT,294.1,9.1,D
29.589,-81.947,319.1,1,1,2020-02-19,1610,T,73,6.0NRT,287.2,15,D
28.129,-81.789,313.6,1,1,2020-02-19,1610,T,0,6.0NRT,297.6,6.4,D
26.682,-80.697,351.9,1,1,2020-02-19,1610,T,91,6.0NRT,298.2,62.9,D
26.68,-80.687,322.1,1,1,2020-02-19,1610,T,70,6.0NRT,298.8,13.1,D
26.631,-81.454,322.3,1,1,2020-02-19,1610,T,77,6.0NRT,298.9,14.2,D
26.466,-80.914,385,1,1,2020-02-19,1610,T,100,6.0NRT,304.6,174.3,D
26.465,-80.904,362.5,1,1,2020-02-19,1610,T,100,6.0NRT,303.1,89.7,D
23.015,-81.122,310.3,1.1,1,2020-02-19,1610,T,21,6.0NRT,297,3.6,D
22.775,-80.597,330.7,1.1,1.1,2020-02-19,1610,T,83,6.0NRT,298.1,28,D
22.773,-80.586,317.5,1.1,1.1,2020-02-19,1610,T,66,6.0NRT,299.8,11.8,D
22.763,-80.643,320.4,1.1,1.1,2020-02-19,1610,T,71,6.0NRT,298.6,12.8,D
22.811,-81.822,319.8,1,1,2020-02-19,1615,T,45,6.0NRT,304.3,7.8,D
22.81,-81.812,318.7,1,1,2020-02-19,1615,T,37,6.0NRT,303.7,6.9,D
22.748,-81.833,325.3,1,1,2020-02-19,1615,T,77,6.0NRT,304.9,14,D
22.739,-81.835,331.7,1,1,2020-02-19,1615,T,83,6.0NRT,306.3,21.8,D
22.719,-81.824,318.6,1,1,2020-02-19,1615,T,63,6.0NRT,302.6,6.6,D
22.421,-80.367,318.8,1.2,1.1,2020-02-19,1615,T,69,6.0NRT,299.8,13,D
21.874,-78.344,314,1.6,1.2,2020-02-19,1615,T,54,6.0NRT,295.4,13.1,D
21.882,-78.581,318.8,1.5,1.2,2020-02-19,1615,T,50,6.0NRT,302,16.9,D
21.076,-78.337,319,1.6,1.2,2020-02-19,1615,T,64,6.0NRT,302.5,19.9,D
21.831,-83.034,313.8,1,1,2020-02-19,1615,T,34,6.0NRT,299.3,8.4,D
20.234,-76.698,316.6,2.2,1.4,2020-02-19,1615,T,47,6.0NRT,299.9,20.1,D
19.87,-77.368,314.1,2,1.4,2020-02-19,1615,T,0,6.0NRT,300.3,12.2,D
19.562,-92.242,315.8,3.1,1.7,2020-02-19,1615,T,64,6.0NRT,293.1,63.2,D
19.563,-92.248,311.5,3.1,1.7,2020-02-19,1615,T,49,6.0NRT,293.1,46,D
17.582,-88.683,347.8,1.6,1.2,2020-02-19,1615,T,94,6.0NRT,298.4,99.4,D
17.58,-88.669,326.4,1.6,1.2,2020-02-19,1615,T,81,6.0NRT,297.5,35,D
17.571,-88.685,352.2,1.6,1.2,2020-02-19,1615,T,96,6.0NRT,296.9,117.5,D
34.729,-98.687,312.7,1.6,1.3,2020-02-19,1750,T,73,6.0NRT,288.8,23.2,D
34.725,-98.669,312.3,1.6,1.3,2020-02-19,1750,T,72,6.0NRT,289,22.3,D
34.718,-98.69,315.3,1.6,1.3,2020-02-19,1750,T,74,6.0NRT,286.8,26.5,D
34.714,-98.672,327.3,1.6,1.3,2020-02-19,1750,T,85,6.0NRT,288.3,51.6,D
33.901,-99.917,314.5,1.4,1.2,2020-02-19,1750,T,75,6.0NRT,283.2,22.9,D
31.475,-111.493,307,1.8,1.3,2020-02-19,1750,T,43,6.0NRT,286.9,16.8,D
31.218,-110.333,300.5,1.5,1.2,2020-02-19,1750,T,36,6.0NRT,280.6,7.8,D
25.728,-103.446,319.8,1.3,1.1,2020-02-19,1750,T,63,6.0NRT,304.1,8.3,D
24.25,-107.271,326.6,1,1,2020-02-19,1750,T,81,6.0NRT,303.5,19,D
24.249,-107.262,313.8,1,1,2020-02-19,1750,T,56,6.0NRT,302.6,6.6,D
23.781,-105.358,308.9,1.1,1,2020-02-19,1750,T,34,6.0NRT,296,5.4,D
22.38,-102.086,322.4,1.8,1.3,2020-02-19,1750,T,73,6.0NRT,306,22.7,D
21.432,-104.803,315.4,1.2,1.1,2020-02-19,1750,T,60,6.0NRT,304.3,7.6,D
21.157,-105.194,313.9,1.2,1.1,2020-02-19,1750,T,61,6.0NRT,298.6,9.6,D
20.361,-101.977,320.4,2,1.4,2020-02-19,1750,T,66,6.0NRT,305.1,24.9,D
19.947,-102.587,315.5,1.8,1.3,2020-02-19,1750,T,50,6.0NRT,302.6,9.4,D
19.52,-100.46,315.9,2.7,1.6,2020-02-19,1750,T,57,6.0NRT,301.2,32,D
19.529,-100.463,317.1,2.7,1.6,2020-02-19,1750,T,57,6.0NRT,301.6,36.3,D
19.101,-99.74,316.7,3.1,1.7,2020-02-19,1750,T,48,6.0NRT,294.9,62.6,D
19.101,-99.747,313.5,3.1,1.7,2020-02-19,1750,T,48,6.0NRT,294.3,51.8,D
19.291,-103.646,316.2,1.6,1.2,2020-02-19,1750,T,63,6.0NRT,301.5,12.1,D
19.288,-103.631,322.8,1.6,1.2,2020-02-19,1750,T,75,6.0NRT,301.7,23.3,D
40.925,-72.884,301.1,1.1,1,2020-02-19,1745,A,43,6.0NRT,283.6,6.3,D
19.195,-71.936,327.3,2.3,1.5,2020-02-19,1740,A,55,6.0NRT,291.2,57.9,D
19.208,-71.938,320.1,2.3,1.5,2020-02-19,1740,A,47,6.0NRT,291.5,32.6,D
19.205,-71.945,336.4,2.3,1.5,2020-02-19,1740,A,83,6.0NRT,291.8,103.1,D
19.631,-71.716,315.9,2.2,1.4,2020-02-19,1740,A,57,6.0NRT,296.2,21.4,D
47.571,-122.368,302,1.1,1,2020-02-19,1925,T,48,6.0NRT,283.5,7.3,D
45.231,-123.163,303,1.1,1,2020-02-19,1925,T,54,6.0NRT,285.2,8,D
40.091,-122.181,335.3,1.5,1.2,2020-02-19,1925,T,89,6.0NRT,292.1,63.3,D
40.088,-122.165,335.5,1.5,1.2,2020-02-19,1925,T,90,6.0NRT,291.7,63.9,D
39.958,-122.268,300.4,1.5,1.2,2020-02-19,1925,T,35,6.0NRT,290.3,5,D
39.955,-122.274,303.1,1.5,1.2,2020-02-19,1925,T,55,6.0NRT,290.3,7.9,D
39.683,-122.068,309.5,1.5,1.2,2020-02-19,1925,T,69,6.0NRT,291,16.3,D
39.679,-122.051,304.3,1.5,1.2,2020-02-19,1925,T,59,6.0NRT,290.7,9.9,D
39.631,-122.11,307.1,1.5,1.2,2020-02-19,1925,T,65,6.0NRT,290.8,12.2,D
39.491,-122.584,307.3,1.5,1.2,2020-02-19,1925,T,65,6.0NRT,288.6,13.5,D
39.16,-121.514,302.5,1.7,1.3,2020-02-19,1925,T,52,6.0NRT,291.9,7.7,D
38.862,-121.598,304.6,1.7,1.3,2020-02-19,1925,T,59,6.0NRT,292.5,10.5,D
38.881,-121.752,303.3,1.7,1.3,2020-02-19,1925,T,43,6.0NRT,293,6.9,D
39.143,-123.262,307.6,1.4,1.2,2020-02-19,1925,T,66,6.0NRT,286.7,14.4,D
38.922,-122.716,315.5,1.5,1.2,2020-02-19,1925,T,76,6.0NRT,290.8,24.2,D
38.929,-122.719,305,1.5,1.2,2020-02-19,1925,T,60,6.0NRT,291.1,11,D
38.931,-122.788,300.9,1.5,1.2,2020-02-19,1925,T,43,6.0NRT,287.7,8.2,D
38.919,-122.723,301.9,1.5,1.2,2020-02-19,1925,T,40,6.0NRT,291,8.1,D
39.033,-123.385,307.4,1.3,1.2,2020-02-19,1925,T,65,6.0NRT,290,13.1,D
39.03,-123.37,307.5,1.4,1.2,2020-02-19,1925,T,65,6.0NRT,290.2,12.9,D
38.868,-122.633,303.7,1.5,1.2,2020-02-19,1925,T,57,6.0NRT,290.5,10,D
38.528,-122.693,301.4,1.5,1.2,2020-02-19,1925,T,47,6.0NRT,289.6,7.9,D
38.254,-121.381,303.6,1.8,1.3,2020-02-19,1925,T,56,6.0NRT,292,11.6,D
38.498,-122.77,304.2,1.5,1.2,2020-02-19,1925,T,58,6.0NRT,291.5,8.3,D
38.378,-122.337,305.5,1.6,1.2,2020-02-19,1925,T,51,6.0NRT,292.4,10.9,D
38.374,-122.326,308.1,1.6,1.2,2020-02-19,1925,T,67,6.0NRT,292,14.8,D
37.222,-120.248,303.9,2.2,1.5,2020-02-19,1925,T,57,6.0NRT,292.6,12.6,D
37.217,-120.223,314.3,2.3,1.5,2020-02-19,1925,T,75,6.0NRT,292.9,36.3,D
37.072,-121.855,359.3,1.8,1.3,2020-02-19,1925,T,99,6.0NRT,289.2,203.7,D
37.067,-121.835,327.3,1.8,1.3,2020-02-19,1925,T,85,6.0NRT,287.1,63.7,D
37.077,-121.859,336.1,1.8,1.3,2020-02-19,1925,T,90,6.0NRT,287.7,91.5,D
37.073,-121.839,331.7,1.8,1.3,2020-02-19,1925,T,88,6.0NRT,288.1,76.8,D
37.061,-121.843,301.8,1.8,1.3,2020-02-19,1925,T,49,6.0NRT,286.1,14.2,D
35.276,-119.48,306.7,2.8,1.6,2020-02-19,1925,T,25,6.0NRT,295.8,15.1,D
24.243,-107.28,313.2,2.8,1.6,2020-02-19,2100,A,36,6.0NRT,302.2,25.8,D
25.099,-111.767,322.7,1.4,1.2,2020-02-19,2100,A,63,6.0NRT,305.2,11.1,D
32.757,-113.984,327.9,1.3,1.1,2020-02-19,2105,A,76,6.0NRT,303.7,26.1,D
32.758,-113.978,328.7,1.3,1.1,2020-02-19,2105,A,77,6.0NRT,303.4,26.6,D
34.659,-118.288,318.3,1,1,2020-02-19,2105,A,69,6.0NRT,302.5,9.3,D
35.275,-119.489,319.4,1,1,2020-02-19,2105,A,73,6.0NRT,302.2,9.8,D
37.216,-120.225,311,1,1,2020-02-19,2105,A,71,6.0NRT,297.5,7.2,D
37.214,-120.236,322.1,1,1,2020-02-19,2105,A,81,6.0NRT,296.9,17.3,D
37.064,-121.854,345.6,1.2,1.1,2020-02-19,2105,A,94,6.0NRT,290,67,D
37.062,-121.867,302.8,1.2,1.1,2020-02-19,2105,A,36,6.0NRT,288.3,7.3,D
37.649,-120.765,308.1,1,1,2020-02-19,2105,A,67,6.0NRT,297,5.3,D
38.096,-121.107,307.4,1.1,1,2020-02-19,2105,A,65,6.0NRT,296.6,4.3,D
38.233,-120.527,305,1,1,2020-02-19,2105,A,57,6.0NRT,293,5.3,D
